,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.0023155270521829996,
1,Integrated Gradients,-0.0016996705866001,
2,Gradient Shap,-0.0029294841087532,
3,Attention Rollout,0.00025584520305149943,
4,Attention Last,0.0004450423277760993,
5,Attention,0.0006534518254748007,
6,Ours,-6.80722080926002e-05,
0,Input X Gradient,,0.0248944736093848
1,Integrated Gradients,,0.012616235464793199
2,Gradient Shap,,0.0177617569737073
3,Attention Rollout,,0.0005134858873996999
4,Attention Last,,0.00011025836616739958
5,Attention,,-0.00010530054879430081
6,Ours,,0.23367134745440418
