,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,FlexLen Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,FlexLen Comp,Soft Comp
0,Norm,1.40379029521149,1.8173666108812183,2.1484629788796257,1.8958373099159849,1.9330345389554733,1.500222906804249,0.9990589704095547,,,,,,,
1,Signed,1.9590558257353219,1.75127206571322,1.1470663644141759,1.3140924486450625,1.3600909351807042,1.0067715578687668,1.0783016872355422,,,,,,,
2,Inseq Ig,1.0243810098330541,1.597681649585785,1.9488330474568618,1.9128890631120763,1.8158569397114936,1.7839397681204545,1.2647680769574128,,,,,,,
3,Rollout Attention,4.223790412074174,1.2212935666001865,1.0392156973042936,0.8639813578034428,1.2284995209561465,1.5059928531509201,0.6355130292716971,,,,,,,
4,Last Attention,5.1844994199246,5.072426239674366,2.517228566501784,2.669904555804864,3.0912532263316894,3.266091847726232,0.9487932486927109,,,,,,,
5,All Attention,2.5437783988641747,4.124807608467193,2.817464292087903,2.301755368547233,2.760554073334685,2.4289769878941376,1.0090250267233498,,,,,,,
6,Ours,2.024385814175081,1.804510808769767,2.2499070159538843,1.6677554758780646,1.9118495019826922,2.092464474621737,6.754150960661237,,,,,,,
0,Norm,,,,,,,,1.2879221246256194,1.0784845255697812,1.0701684405427503,1.0580588992043591,1.1107150610241414,1.0883103251362085,1.648480823023059
1,Signed,,,,,,,,1.219362253717004,1.127069774000744,1.0356837269044197,1.0207464929953374,1.0902559844112982,1.0463181434028725,1.0994663664174142
2,Inseq Ig,,,,,,,,1.2553366483916717,1.0827143138106334,1.0622455327225384,1.068818160144373,1.1067984983240273,1.066742832048736,3.0772871795664662
3,Rollout Attention,,,,,,,,1.3620650116540787,1.1480361808338753,1.013601830304684,0.9752864676044097,1.1010627690162051,1.0598169624604936,0.9838032840709134
4,Last Attention,,,,,,,,1.21331433234162,1.1885119899711634,1.086793184231757,1.0668946971430269,1.1301638397044886,1.130963324130137,0.9146845987137812
5,All Attention,,,,,,,,1.2790437623028736,1.1709713201942717,1.089448639932034,1.073857648037727,1.1411319412380838,1.1201763261897433,0.9340652729179434
6,Ours,,,,,,,,1.0986915727148854,1.0929258078668167,1.0920145801783236,1.0976799804027222,1.0953203177286408,1.1055492455294529,5.066976024080892
